Waste Type,Count,Percentage
Miscellaneous Trash,28,40.57971014492754
Vegetation,19,27.536231884057973
Paper,10,14.492753623188406
Metal,6,8.695652173913043
Textile Trash,5,7.246376811594203
Cardboard,1,1.4492753623188406
